PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Austin Rivers,HOU,27,52,35,17,1222,437,157,379,41.4,70,205,34.1,53,77,68.8,19,107,126,81,31,37,9,94,816.7,0,0,83
George Hill,MIL,33,46,40,6,969,436,156,290,53.8,67,132,50.8,57,69,82.6,41,96,137,136,42,35,4,66,879.4,0,0,245
Malik Beasley,MIN,23,46,27,19,914,435,157,388,40.5,78,207,37.7,43,50,86,15,94,109,59,46,34,8,63,734.3,1,0,41
Wendell Carter Jr.,CHI,20,37,13,24,1109,433,166,309,53.7,6,28,21.4,95,129,73.6,130,236,366,44,62,30,33,142,1065.2,17,0,25
Svi Mykhailiuk,DET,22,49,16,33,1081,430,142,332,42.8,97,234,41.5,49,57,86,15,70,85,80,51,31,4,72,706,0,0,2
Dwight Howard,LAL,34,55,43,12,1080,428,174,237,73.4,3,5,60,77,163,47.2,146,280,426,35,67,22,71,179,1203.7,8,0,153
Tony Snell,DET,28,52,17,35,1420,419,152,336,45.2,93,226,41.2,22,22,100,7,85,92,96,26,25,12,83,758.4,0,0,-173
P.J. Tucker,HOU,34,56,36,20,1952,418,148,336,44,85,227,37.4,37,44,84.1,85,301,386,89,59,64,24,185,1219.7,6,0,180
D.J. Augustin,ORL,32,40,19,21,1029,417,128,328,39,47,138,34.1,114,130,87.7,15,81,96,184,55,28,1,45,840.2,0,0,35
Jaxson Hayes,NOP,19,54,25,29,937,416,153,231,66.2,1,4,25,109,173,63,82,140,222,51,40,22,52,140,940.9,3,0,-39
Kevin Porter Jr.,CLE,19,44,13,31,979,416,158,350,45.1,43,126,34.1,57,80,71.3,17,119,136,86,84,39,10,121,771.2,0,0,-259
Jordan Poole,GSW,20,50,10,40,1097,414,135,436,31,62,233,26.6,82,99,82.8,7,99,106,102,56,31,9,82,758.2,0,0,-172
E'Twaun Moore,NOP,30,44,23,21,861,407,162,380,42.6,56,150,37.3,27,41,65.9,28,83,111,67,32,24,8,68,704.7,0,0,12
Landry Shamet,LAC,22,39,24,15,1145,407,133,309,43,95,235,40.4,46,51,90.2,4,75,79,73,31,17,8,117,655.3,0,0,82
Delon Wright,DAL,27,55,33,22,1169,404,153,324,47.2,36,96,37.5,62,80,77.5,59,153,212,185,53,58,18,70,1110.9,1,0,14
Tyus Jones,MEM,23,56,28,28,1053,398,165,348,47.4,36,91,39.6,32,43,74.4,8,81,89,254,48,47,6,36,996.8,0,0,-63
Shabazz Napier,WAS,28,42,12,30,969,397,130,319,40.8,56,181,30.9,81,98,82.7,20,101,121,210,88,49,8,70,940.2,2,1,-70
Wesley Matthews,MIL,33,53,45,8,1302,394,134,329,40.7,85,228,37.3,41,53,77.4,12,118,130,78,36,30,9,79,748,0,0,380
DeAndre Jordan,BKN,31,47,23,24,1015,390,160,240,66.7,0,0,0,70,100,70,116,348,464,93,66,16,46,95,1206.3,10,0,-57
Aron Baynes,PHX,33,35,16,19,780,387,150,304,49.3,43,129,33.3,44,61,72.1,54,137,191,63,41,8,20,124,753.7,2,0,-58
Enes Kanter,BOS,27,44,28,16,797,385,164,284,57.7,1,7,14.3,56,80,70,125,229,354,43,47,17,35,79,983.3,8,0,174
Thomas Bryant,WAS,22,31,10,21,769,385,157,266,59,15,44,34.1,56,77,72.7,65,160,225,64,41,11,28,70,827,7,0,-164
Jonathan Isaac,ORL,22,32,13,19,949,384,149,322,46.3,30,91,33,56,73,76.7,57,165,222,44,47,50,78,79,1053.4,5,0,10
Kelly Olynyk,MIA,28,50,33,17,972,384,128,279,45.9,65,163,39.9,63,73,86.3,33,192,225,73,55,34,17,124,861.5,3,0,33
Nerlens Noel,OKC,25,48,30,18,891,381,155,228,68,1,3,33.3,70,88,79.5,76,165,241,50,46,51,72,125,1068.2,3,0,27
Jordan McRae,DEN,28,32,12,20,681,379,135,322,41.9,42,110,38.2,67,87,77,18,91,109,86,38,20,16,63,708.8,0,0,-33
Dwight Powell,DAL,28,40,25,15,1061,376,146,229,63.8,10,39,25.6,74,111,66.7,75,152,227,59,36,34,22,102,868.9,1,0,195
Kris Dunn,CHI,25,51,19,32,1269,373,152,342,44.4,29,112,25.9,40,54,74.1,23,163,186,173,68,101,17,158,1141.7,0,0,-29
Willie Cauley-Stein,DAL,26,50,13,37,1051,373,167,291,57.4,0,1,0,39,63,61.9,80,216,296,67,39,49,58,118,1110.7,3,0,-121
Ersan Ilyasova,MIL,32,51,43,8,823,371,133,282,47.2,44,118,37.3,61,73,83.6,56,198,254,45,29,22,14,79,822.3,4,0,129
JaVale McGee,LAL,32,53,42,11,885,370,162,252,64.3,3,6,50,43,67,64.2,98,210,308,33,40,26,82,127,1073.1,2,0,168
Omari Spellman,MIN,22,49,11,38,886,370,127,295,43.1,43,110,39.1,73,92,79.3,77,142,219,47,54,33,24,63,820.3,1,0,-144
Kevin Knox II,NYK,20,55,17,38,1005,369,127,345,36.8,57,176,32.4,58,88,65.9,20,136,156,53,37,20,22,89,724.7,0,0,-190
Derrick Jones Jr.,MIA,23,42,26,16,1028,367,131,264,49.6,29,104,27.9,76,97,78.4,43,132,175,42,25,44,28,93,831,0,0,-41
T.J. McConnell,IND,27,55,32,23,1039,365,166,319,52,4,13,30.8,29,35,82.9,28,117,145,281,76,39,11,57,1034.5,2,0,35
Gorgui Dieng,MEM,30,49,14,35,825,362,133,291,45.7,48,125,38.4,48,60,80,74,197,271,61,46,42,43,99,987.7,7,0,-83
Brad Wanamaker,BOS,30,55,39,16,1040,359,118,281,42,29,78,37.2,94,102,92.2,15,95,110,146,61,40,11,103,802,0,0,100
Cory Joseph,SAC,28,56,23,33,1376,356,137,333,41.1,42,121,34.7,40,50,80,33,114,147,187,59,38,18,106,921.9,0,0,-55
Derrick Favors,NOP,28,38,19,19,909,355,161,259,62.2,1,6,16.7,32,55,58.2,120,260,380,68,48,21,37,85,1039,14,0,93
Alex Len,SAC,26,41,10,31,761,352,143,263,54.4,14,56,25,52,83,62.7,73,165,238,42,42,21,34,97,823.6,7,0,-130
De'Anthony Melton,MEM,21,43,21,22,802,352,124,287,43.2,25,84,29.8,79,94,84,28,128,156,129,63,55,14,77,876.7,0,0,133
Frank Kaminsky,PHX,26,32,12,20,718,352,127,279,45.5,39,112,34.8,59,88,67,30,128,158,71,33,13,10,69,684.1,1,0,-32
Elfrid Payton,NYK,26,36,13,23,988,350,153,356,43,14,59,23.7,30,56,53.6,43,126,169,247,72,61,16,74,1082.3,4,1,-87
Avery Bradley,LAL,29,41,30,11,969,349,143,310,46.1,47,126,37.3,16,20,80,17,77,94,47,38,35,4,95,611.3,0,0,110
Rondae Hollis-Jefferson,TOR,25,45,32,13,885,348,128,266,48.1,2,17,11.8,90,123,73.2,89,130,219,81,46,42,18,95,866.3,2,0,107
Bismack Biyombo,CHA,27,47,15,32,890,346,133,246,54.1,0,0,0,80,133,60.2,109,161,270,41,43,9,39,99,832.5,7,0,-138
Emmanuel Mudiay,UTA,23,46,31,15,742,345,134,284,47.2,27,75,36,50,67,74.6,17,97,114,107,63,19,10,61,666.3,0,0,32
Cameron Johnson,PHX,23,44,19,25,870,343,117,284,41.2,77,197,39.1,32,42,76.2,37,87,124,47,27,26,13,62,652.3,0,0,-60
Draymond Green,GSW,29,42,10,32,1212,343,122,315,38.7,36,129,27.9,63,83,75.9,23,242,265,262,95,58,33,106,1232,8,2,-196
Patrick Beverley,LAC,31,40,30,10,1121,338,125,291,43,64,176,36.4,24,38,63.2,51,180,231,159,54,49,25,127,1021.7,4,0,203
Royce O'Neale,UTA,26,56,36,20,1624,336,121,272,44.5,68,170,40,26,31,83.9,21,267,288,142,46,40,23,159,1037.6,2,0,224
Mason Plumlee,DEN,29,45,31,14,778,330,133,217,61.3,0,4,0,64,116,55.2,80,165,245,109,66,25,27,101,877.5,2,0,-2
Trevor Ariza,POR,34,45,19,26,1208,318,111,257,43.2,59,164,36,37,45,82.2,29,179,208,71,45,58,12,93,839.1,0,0,-28
Michael Porter Jr.,DEN,21,41,30,11,573,317,124,247,50.2,38,90,42.2,31,39,79.5,44,132,176,29,31,17,18,69,645.7,5,0,14
Gary Trent Jr.,POR,21,45,20,25,838,315,114,266,42.9,66,162,40.7,21,24,87.5,18,51,69,42,13,33,11,54,579.8,0,0,-61
Taj Gibson,NYK,34,53,17,36,872,309,138,240,57.5,3,11,27.3,30,44,68.2,93,134,227,47,40,23,24,108,752.9,0,0,-229
Chris Boucher,TOR,27,49,36,13,638,308,106,230,46.1,23,84,27.4,73,93,78.5,83,132,215,22,20,18,49,92,780,3,0,80
Damyean Dotson,NYK,25,46,14,32,805,308,115,275,41.8,56,155,36.1,22,32,68.8,8,76,84,56,20,22,4,42,550.8,0,0,-78
Mike Scott,PHI,31,56,34,22,959,306,110,278,39.6,62,182,34.1,24,27,88.9,44,143,187,32,20,17,4,68,621.4,0,0,78
Trey Lyles,SAS,24,56,24,32,1040,306,118,268,44,48,132,36.4,22,32,68.8,63,249,312,58,33,19,22,85,857.4,1,0,-27
Rajon Rondo,LAL,34,40,31,9,836,304,120,279,43,38,108,35.2,26,39,66.7,20,110,130,211,78,35,2,49,809.5,2,0,64
Ky Bowman,GSW,22,42,9,33,935,303,120,296,40.5,31,101,30.7,32,39,82.1,24,86,110,126,60,41,9,90,714,0,0,-131
Moritz Wagner,WAS,22,28,10,18,557,303,116,202,57.4,23,65,35.4,48,60,80,37,119,156,36,50,18,16,100,596.2,2,0,-34
Jakob Poeltl,SAS,24,56,24,32,951,301,133,215,61.9,0,0,0,35,70,50,103,203,306,100,44,30,84,95,1116.2,2,0,60
Kyle Korver,MIL,38,47,40,7,783,301,99,237,41.8,77,189,40.7,26,31,83.9,12,85,97,55,39,20,11,61,553.9,0,0,138
Damian Jones,ATL,24,51,14,37,850,300,118,172,68.6,2,8,25,62,84,73.8,71,123,194,32,28,26,38,139,744.8,0,0,-246
James Ennis III,ORL,29,52,33,19,828,300,105,241,43.6,38,112,33.9,52,67,77.6,53,106,159,42,33,23,14,88,631.8,0,0,19
Meyers Leonard,MIA,27,49,34,15,987,300,116,223,52,51,119,42.9,17,26,65.4,27,221,248,53,35,13,15,103,726.1,2,0,95
JaMychal Green,LAC,29,47,31,16,971,299,103,259,39.8,62,175,35.4,31,42,73.8,66,231,297,34,40,22,17,124,783.4,6,0,112
Justin Jackson,DAL,24,51,32,19,820,298,112,282,39.7,41,136,30.1,33,40,82.5,23,104,127,34,11,10,6,55,538.4,0,0,-8
Frank Ntilikina,NYK,21,50,15,35,1041,296,110,286,38.5,36,116,31,40,46,87,21,89,110,149,64,47,16,124,776.5,0,0,-83
Nicolo Melli,NOP,29,45,21,24,722,296,104,224,46.4,58,146,39.7,30,39,76.9,30,100,130,50,34,25,15,86,613,0,0,-53
Georges Niang,UTA,26,50,33,17,677,290,103,225,45.8,65,155,41.9,19,22,86.4,11,85,96,34,25,12,5,59,482.2,0,0,-70
Marvin Williams,MIL,33,44,15,29,855,289,99,220,45,46,124,37.1,45,52,86.5,17,101,118,44,26,30,23,76,629.6,0,0,-98
Alex Caruso,LAL,25,52,41,11,940,288,100,235,42.6,35,99,35.4,53,67,79.1,13,85,98,88,41,54,14,82,700.6,0,0,219
Maurice Harkless,NYK,26,52,35,17,1182,282,115,225,51.1,28,77,36.4,24,42,57.1,48,160,208,50,47,50,30,122,799.6,0,0,46
Robin Lopez,MIL,31,52,44,8,717,280,117,233,50.2,23,79,29.1,23,43,53.5,47,83,130,35,43,8,35,62,574.5,0,0,53
Blake Griffin,DET,30,18,8,10,512,279,88,250,35.2,27,111,24.3,76,98,77.6,17,67,84,59,40,7,7,27,470.3,2,0,-26
Solomon Hill,MIA,28,50,26,24,924,279,98,240,40.8,57,151,37.7,26,38,68.4,26,121,147,94,41,33,7,75,675.4,0,0,-68
Mo Bamba,ORL,21,51,22,29,758,275,112,240,46.7,29,87,33.3,22,32,68.8,75,175,250,35,39,20,72,97,864.5,1,0,11
Kyle Anderson,MEM,26,50,26,24,913,274,113,224,50.4,10,45,22.2,38,58,65.5,48,162,210,108,45,39,24,75,832,0,0,-104
Zion Williamson,NOP,19,12,7,5,337,274,106,181,58.6,5,12,41.7,57,94,60.6,42,44,86,27,29,8,5,19,427.7,2,0,94
Marc Gasol,TOR,35,35,27,8,974,272,98,231,42.4,50,124,40.3,26,36,72.2,29,197,226,122,43,28,33,101,866.2,3,0,243
Lonnie Walker IV,SAS,21,48,22,26,670,270,104,241,43.2,24,63,38.1,38,53,71.7,18,82,100,37,27,24,9,59,517.5,0,0,1
Marco Belinelli,SAS,33,48,21,27,725,269,94,250,37.6,49,140,35,32,41,78,3,75,78,62,14,9,0,38,468.6,0,0,19
Ian Mahinmi,WAS,33,35,14,21,750,267,97,194,50,5,24,20.8,68,107,63.6,74,131,205,47,45,27,43,105,748.5,1,0,-61
Frank Jackson,NOP,21,45,21,24,583,259,91,225,40.4,33,105,31.4,44,57,77.2,15,41,56,37,39,15,4,61,399.7,0,0,-69
Keita Bates-Diop,DEN,24,39,10,29,665,258,89,208,42.8,31,94,33,49,69,71,21,91,112,30,14,17,21,38,537.4,0,0,-159
Thon Maker,DET,22,54,19,35,696,258,85,168,50.6,20,58,34.5,68,102,66.7,49,98,147,37,44,21,35,90,613.9,2,0,-111
Vince Carter,ATL,43,51,16,35,763,258,92,262,35.1,51,174,29.3,23,29,79.3,14,96,110,44,30,19,24,81,555,0,0,-121
Pat Connaughton,MIL,27,52,46,6,948,254,100,221,45.2,36,113,31.9,18,25,72,46,179,225,83,40,15,28,49,737.5,0,0,89
Jeff Green,HOU,33,32,20,12,591,252,82,204,40.2,38,110,34.5,50,65,76.9,15,73,88,22,32,13,10,49,427.6,0,0,-88
DeAndre' Bembry,ATL,25,43,10,33,915,249,104,228,45.6,15,65,23.1,26,48,54.2,34,118,152,81,60,55,19,84,714.9,2,0,-257
Abdel Nader,OKC,26,41,28,13,627,240,85,181,47,32,89,36,38,48,79.2,11,54,65,26,33,16,12,53,408,0,0,-45
Darius Bazley,OKC,19,53,32,21,909,238,88,230,38.3,30,100,30,32,47,68.1,21,175,196,29,40,20,35,45,641.7,0,0,-65
Isaac Bonga,WAS,20,50,18,32,886,238,87,163,53.4,18,45,40,46,58,79.3,53,107,160,54,35,33,18,116,629,0,0,20
Ryan Arcidiacono,CHI,25,54,20,34,849,235,80,202,39.6,50,130,38.5,25,34,73.5,17,82,99,88,35,23,3,87,528.8,0,0,-87
Matisse Thybulle,PHI,22,49,32,17,981,231,80,199,40.2,47,128,36.7,24,37,64.9,26,49,75,58,41,69,40,109,694,0,0,8
Rodney Hood,POR,27,21,8,13,619,230,87,172,50.6,35,71,49.3,21,27,77.8,10,62,72,32,19,17,4,46,408.4,0,0,5
Dwayne Bacon,CHA,24,39,10,29,687,224,85,244,34.8,19,67,28.4,35,53,66,15,85,100,52,37,23,2,52,460,0,0,-132
Grayson Allen,MEM,24,30,14,16,498,221,79,176,44.9,33,91,36.3,30,35,85.7,5,61,66,43,23,6,1,36,362.7,0,0,-71
Patrick Patterson,LAC,30,46,29,17,578,219,71,178,39.9,50,134,37.3,27,34,79.4,29,88,117,29,15,6,3,40,414.9,0,0,90
Chandler Hutchison,CHI,23,28,8,20,527,218,80,175,45.7,12,38,31.6,46,78,59,18,90,108,26,27,27,7,47,461.6,0,0,-144
Reggie Jackson,LAC,29,15,4,11,403,217,79,207,38.2,33,88,37.5,26,33,78.8,11,32,43,76,25,8,1,24,384.6,1,0,48
Luke Kornet,CHI,24,36,11,25,559,215,82,187,43.9,31,108,28.7,20,28,71.4,22,62,84,32,14,11,26,54,460.8,0,0,-42
Reggie Bullock,NYK,28,22,8,14,563,215,82,204,40.2,35,102,34.3,16,19,84.2,13,43,56,32,14,24,0,50,388.2,0,0,-66
Dewayne Dedmon,ATL,30,39,16,23,663,214,85,208,40.9,18,87,20.7,26,31,83.9,48,160,208,19,52,18,38,115,608.1,3,0,2
Jahlil Okafor,NOP,24,27,9,18,420,214,88,144,61.1,1,2,50,37,58,63.8,46,71,117,36,36,7,19,62,450.4,2,0,-102
Torrey Craig,DEN,29,44,32,12,785,212,81,180,45,30,94,31.9,20,31,64.5,44,101,145,30,20,15,29,100,543,2,0,-115
Hamidou Diallo,OKC,21,33,18,15,621,211,90,198,45.5,5,30,16.7,26,40,65,25,84,109,21,33,26,6,70,436.3,2,0,0
Nickeil Alexander-Walker,NOP,21,41,18,23,501,211,77,227,33.9,40,117,34.2,17,28,60.7,8,72,80,74,40,11,7,46,432,0,0,-62
Sekou Doumbouya,DET,19,31,9,22,629,211,79,200,39.5,26,86,30.2,27,40,67.5,16,89,105,14,32,18,7,67,401,2,0,-115
Michael Carter-Williams,ORL,28,33,13,20,592,210,74,181,40.9,12,49,24.5,50,64,78.1,35,77,112,87,35,35,16,56,592.9,0,0,-24
Wes Iwundu,ORL,25,41,18,23,749,210,68,178,38.2,20,62,32.3,54,66,81.8,22,84,106,44,17,25,10,60,491.2,0,0,-2
Treveon Graham,ATL,26,46,18,28,803,203,72,207,34.8,26,103,25.2,33,47,70.2,37,88,125,33,23,21,5,83,457.5,0,0,-120
Grant Williams,BOS,21,54,39,15,835,201,72,171,42.1,20,74,27,37,51,72.5,54,88,142,56,44,23,31,131,573.4,0,0,154
Sterling Brown,MIL,25,39,32,7,565,197,70,185,37.8,31,95,32.6,26,33,78.8,26,121,147,37,32,21,6,41,477.9,1,0,94
Cheick Diallo,PHX,23,39,14,25,421,193,81,122,66.4,1,2,50,30,35,85.7,24,89,113,20,26,10,11,51,395.6,1,0,-62
Bruno Fernando,ATL,21,47,15,32,569,192,81,157,51.6,4,31,12.9,26,44,59.1,59,100,159,39,40,15,16,91,494.3,1,0,-46
Elie Okobo,PHX,22,47,20,27,621,190,63,159,39.6,23,65,35.4,41,61,67.2,14,59,73,101,30,22,4,45,477.1,0,0,-20
Goga Bitadze,IND,20,43,24,19,371,132,54,112,48.2,4,26,15.4,20,29,69,22,66,88,20,21,4,29,50,345.6,1,0,-31
Kenrich Williams,NOP,25,35,12,23,779,132,49,143,34.3,25,96,26,9,24,37.5,49,129,178,53,21,25,21,81,542.1,0,0,-48
Jacob Evans,MIN,22,28,8,20,415,128,45,133,33.8,13,38,34.2,25,29,86.2,9,32,41,31,25,11,12,41,267.7,0,0,-111
Matt Thomas,TOR,25,26,20,6,267,126,45,88,51.1,31,61,50.8,5,7,71.4,4,31,35,14,10,7,0,23,200,0,0,29
Javonte Green,BOS,26,41,29,12,375,125,48,94,51.1,6,23,26.1,23,36,63.9,16,53,69,21,16,22,5,36,304.3,0,0,7
Noah Vonleh,DEN,24,31,11,20,362,125,49,88,55.7,3,15,20,24,30,80,35,86,121,26,21,11,6,38,339.2,0,0,-56
Justise Winslow,MEM,23,11,7,4,352,124,50,129,38.8,6,27,22.2,18,27,66.7,16,57,73,44,24,7,5,38,289.6,1,0,52
Allonzo Trier,NYK,24,20,2,18,246,120,37,85,43.5,15,46,32.6,31,39,79.5,4,22,26,24,20,2,4,24,185.2,0,0,-78
Matthew Dellavedova,CLE,29,48,13,35,581,120,42,130,32.3,11,69,15.9,25,28,89.3,12,42,54,123,43,15,1,62,374.3,0,0,3
Theo Pinson,BKN,24,29,13,16,346,120,45,152,29.6,15,78,19.2,15,16,93.8,10,41,51,53,32,15,2,33,279.7,0,0,-17
Chris Silva,MIA,23,38,25,13,294,116,42,66,63.6,0,2,0,32,47,68.1,51,54,105,19,31,9,17,78,317.5,0,0,-14
Gary Clark,ORL,25,31,17,14,377,107,36,95,37.9,27,82,32.9,8,9,88.9,25,51,76,13,4,4,13,29,264.7,0,0,-10
Isaiah Hartenstein,HOU,21,23,16,7,266,107,44,67,65.7,0,5,0,19,28,67.9,29,61,90,18,16,9,12,41,289,2,0,40
David Nwaba,BKN,27,20,8,12,268,104,37,71,52.1,12,28,42.9,18,27,66.7,8,37,45,8,8,11,12,32,231,0,0,35
Gary Payton II,WAS,27,24,11,13,407,104,44,108,40.7,12,41,29.3,4,8,50,25,48,73,45,19,32,7,48,357.1,1,0,-143
Otto Porter Jr.,CHI,26,9,3,6,226,101,35,84,41.7,16,40,40,15,20,75,8,23,31,14,7,9,3,20,188.2,0,0,7
Brandon Knight,DET,28,19,3,16,287,97,33,101,32.7,23,78,29.5,8,17,47.1,3,20,23,36,23,6,2,25,179.6,0,0,-49
Tim Frazier,DET,29,27,9,18,355,97,34,94,36.2,10,30,33.3,19,24,79.2,9,24,33,93,36,14,4,42,294.1,0,0,-54
Carsen Edwards,BOS,21,33,23,10,296,96,33,103,32,19,62,30.6,11,13,84.6,5,36,41,22,15,10,3,27,202.2,0,0,-34
Garrison Mathews,WAS,23,16,7,9,202,93,23,50,46,18,42,42.9,29,32,90.6,6,17,23,10,7,3,1,26,140.6,0,0,47
Thabo Sefolosha,HOU,35,39,26,13,417,92,37,89,41.6,15,53,28.3,3,8,37.5,21,69,90,24,14,23,12,42,327,0,0,9
Ty Jerome,PHX,22,23,10,13,268,88,33,93,35.5,11,40,27.5,11,14,78.6,6,31,37,39,18,14,3,25,223.9,0,0,-100
Edmond Sumner,IND,24,20,8,12,268,86,35,80,43.8,8,26,30.8,8,13,61.5,8,21,29,28,15,13,6,28,204.8,0,0,-20
Victor Oladipo,IND,27,8,3,5,200,86,31,93,33.3,11,44,25,13,17,76.5,6,11,17,21,16,4,1,12,136.9,0,0,-22
Justin James,SAC,23,32,12,20,216,85,33,78,42.3,9,26,34.6,10,21,47.6,6,24,30,16,8,6,9,16,182,0,0,-13
D.J. Wilson,MIL,24,28,26,2,243,84,34,84,40.5,11,46,23.9,5,7,71.4,7,48,55,18,14,1,5,22,181,0,0,-36
Deonte Burton,OKC,26,31,19,12,258,84,35,95,36.8,8,40,20,6,12,50,5,35,40,11,10,4,10,27,180.5,0,0,-49
Admiral Schofield,WAS,22,26,8,18,292,83,30,75,40,14,47,29.8,9,13,69.2,6,28,34,14,7,8,3,41,170.8,0,0,-32
Jordan Bell,MEM,25,27,8,19,235,83,32,60,53.3,2,9,22.2,17,29,58.6,28,50,78,14,18,2,10,17,215.6,0,0,-8
PJ Dozier,DEN,23,16,12,4,224,82,34,84,40.5,7,26,26.9,7,11,63.6,5,25,30,26,11,7,5,27,182,0,0,-4
Stephen Curry,GSW,31,4,1,3,112,81,27,66,40.9,9,37,24.3,18,18,100,4,16,20,26,15,5,2,10,150,1,0,-32
Nicolas Batum,CHA,31,22,6,16,505,79,28,81,34.6,14,49,28.6,9,10,90,25,75,100,66,22,17,8,41,351,0,0,-48
Al-Farouq Aminu,ORL,29,18,7,11,380,78,25,86,29.1,9,36,25,19,29,65.5,24,63,87,21,17,18,8,27,274.9,1,0,-35
Cristiano Felicio,CHI,27,18,6,12,337,78,30,47,63.8,0,2,0,18,23,78.3,47,41,88,12,18,9,1,31,213.6,0,0,-43
Ante Zizic,CLE,23,17,2,15,168,76,31,52,59.6,0,0,0,14,16,87.5,14,41,55,3,7,7,4,20,172.5,1,0,13
JaKarr Sampson,IND,26,19,10,9,256,76,35,61,57.4,2,12,16.7,4,10,40,11,33,44,4,6,6,8,33,170.8,0,0,-10
Kyle O'Quinn,PHI,29,22,15,7,221,76,32,64,50,7,21,33.3,5,11,45.5,27,54,81,32,18,4,17,29,266.2,1,0,-37
Robert Williams III,BOS,22,19,14,5,269,74,33,49,67.3,0,0,0,8,14,57.1,23,64,87,21,16,17,21,34,307.9,0,0,2
Josh Jackson,MEM,23,9,5,4,164,73,27,59,45.8,6,24,25,13,18,72.2,6,29,35,10,13,7,2,17,144,0,0,35
Ryan Broekhoff,DAL,29,17,10,7,180,71,22,59,37.3,20,51,39.2,7,8,87.5,5,38,43,11,6,5,4,15,160.1,0,0,8
TJ Leaf,IND,22,23,13,10,185,68,28,67,41.8,5,14,35.7,7,12,58.3,20,41,61,6,6,8,3,18,177.2,1,0,-19
CJ Miles,WAS,32,10,4,6,161,64,19,59,32.2,11,35,31.4,15,20,75,4,8,12,12,4,10,4,14,134.4,0,0,-8
Bruno Caboclo,HOU,24,23,8,15,197,62,28,70,40,4,26,15.4,2,3,66.7,17,28,45,10,9,12,13,24,197,1,0,-20
Evan Turner,MIN,31,19,3,16,251,62,25,67,37.3,0,5,0,12,14,85.7,8,30,38,38,26,9,8,20,189.6,0,0,-65
Nicolas Claxton,BKN,20,14,5,9,183,62,26,46,56.5,1,7,14.3,9,19,47.4,19,24,43,16,9,1,8,14,155.6,0,0,-59
Romeo Langford,BOS,20,20,16,4,219,61,21,47,44.7,5,18,27.8,14,21,66.7,6,13,19,3,5,5,6,23,116.3,0,0,52
Alen Smailagic,GSW,19,14,1,13,139,59,20,40,50,3,13,23.1,16,19,84.2,10,17,27,13,11,3,4,14,120.9,0,0,-8
Courtney Lee,DAL,34,15,9,6,163,58,22,43,51.2,13,28,46.4,1,2,50,2,11,13,7,3,6,4,17,111.1,0,0,13
Jared Dudley,LAL,34,37,27,10,300,58,20,48,41.7,16,33,48.5,2,2,100,5,35,40,18,6,11,3,36,169,0,0,4
Terance Mann,LAC,23,35,22,13,271,56,22,54,40.7,3,12,25,9,12,75,4,29,33,38,14,8,5,36,177.6,0,0,6
Iman Shumpert,BKN,29,13,9,4,241,54,21,64,32.8,8,33,24.2,4,7,57.1,9,25,34,12,10,12,2,21,144.8,0,0,-52
Derrick Walton Jr.,DET,24,23,14,9,222,50,17,36,47.2,9,21,42.9,7,9,77.8,2,13,15,22,4,4,0,19,109,0,0,4
Kadeem Allen,NYK,27,10,3,7,117,50,19,44,43.2,5,16,31.3,7,11,63.6,2,7,9,21,8,5,2,7,105.3,0,0,-21
Kevon Looney,GSW,24,17,5,12,213,49,21,62,33.9,1,11,9.1,6,9,66.7,23,30,53,13,9,11,4,29,168.1,0,0,-87
Michael Kidd-Gilchrist,DAL,26,14,5,9,168,48,18,54,33.3,5,17,29.4,7,9,77.8,10,26,36,10,8,0,3,22,107.2,0,0,9
Chimezie Metu,SAS,22,16,7,9,73,46,20,35,57.1,0,1,0,6,8,75,10,16,26,6,5,1,4,4,96.2,0,0,12
Jaylen Nowell,MIN,20,10,2,8,117,46,16,44,36.4,3,23,13,11,12,91.7,3,7,10,13,3,0,1,6,77.5,0,0,4
Caleb Swanigan,POR,22,19,9,10,208,45,20,38,52.6,0,2,0,5,12,41.7,22,51,73,16,24,2,6,42,156.6,0,0,-59
Mfiondu Kabengele,LAC,22,12,9,3,64,42,14,32,43.8,9,20,45,5,5,100,1,10,11,2,2,2,2,9,68.2,0,0,-1
Norvel Pelle,PHI,27,17,10,7,170,42,18,33,54.5,0,0,0,6,12,50,15,43,58,7,13,1,25,36,187.1,0,0,-42
Tyrone Wallace,ATL,25,14,3,11,160,40,14,44,31.8,1,15,6.7,11,17,64.7,3,19,22,13,10,7,1,19,99.9,0,0,-32
Jaylen Hoard,POR,20,13,7,6,103,38,15,32,46.9,0,3,0,8,13,61.5,14,18,32,4,4,5,0,12,93.4,0,0,10
Juan Toscano-Anderson,GSW,26,5,0,5,100,38,16,28,57.1,5,9,55.6,1,1,100,1,20,21,11,6,6,3,7,100.7,0,0,-38
Oshae Brissett,TOR,21,19,15,4,135,37,13,36,36.1,3,15,20,8,10,80,9,17,26,7,7,4,1,18,86.7,0,0,34
Vincent Poirier,BOS,26,20,17,3,111,37,15,31,48.4,1,2,50,6,7,85.7,10,24,34,7,6,2,6,22,106.3,0,0,-7
Wenyen Gabriel,POR,22,20,6,14,145,37,13,34,38.2,2,13,15.4,9,14,64.3,11,15,26,4,8,5,5,23,96.2,0,0,-43
Jalen McDaniels,CHA,22,7,3,4,104,36,13,25,52,5,10,50,5,6,83.3,4,19,23,2,1,3,0,13,74.6,0,0,-17
