RK,NAME,,TEAM,SALARY
422,Wade Baldwin IV,G,Indiana Pacers,"$1,544,951 "
423,Isaiah Whitehead,G,Detroit Pistons,"$1,544,951 "
424,Paul Zipser,F,Chicago Bulls,"$1,544,951 "
425,Amile Jefferson,F,Orlando Magic,"$1,529,007 "
426,Omri Casspi,F,Memphis Grizzlies,"$1,512,601 "
427,Lorenzo Brown,G,Guangzhou Guangzhou Long-Lions,"$1,512,601 "
428,Isaiah Canaan,G,Milwaukee Bucks,"$1,512,601 "
429,Dwyane Wade,G,Miami Heat,"$1,512,601 "
430,Nigel Williams-Goss,PG,Utah Jazz,"$1,500,000 "
431,Isaiah Roby,SF,Oklahoma City Thunder,"$1,500,000 "
432,Shake Milton,SG,Philadelphia 76ers,"$1,455,697 "
433,Wenyen Gabriel,PF,Sacramento Kings,"$1,445,697 "
434,Theo Pinson,SG,Brooklyn Nets,"$1,445,697 "
435,Thanasis Antetokounmpo,SF,Milwaukee Bucks,"$1,445,697 "
436,Derrick Walton Jr.,G,LA Clippers,"$1,445,697 "
437,Brad Wanamaker,PG,Boston Celtics,"$1,445,697 "
438,Iman Shumpert,G,Brooklyn Nets,"$1,419,138 "
439,Devonte' Graham,PG,Charlotte Hornets,"$1,416,852 "
440,De'Anthony Melton,SG,Memphis Grizzlies,"$1,416,852 "
441,Jemerrio Jones,F,Milwaukee Bucks,"$1,416,852 "
442,Deonte Burton,SG,Oklahoma City Thunder,"$1,416,852 "
443,Hamidou Diallo,SG,Oklahoma City Thunder,"$1,416,852 "
444,Chimezie Metu,PF,San Antonio Spurs,"$1,416,852 "
445,Gary Trent Jr.,SG,Portland Trail Blazers,"$1,416,852 "
446,Elie Okobo,SF,Phoenix Suns,"$1,416,852 "
447,Jevon Carter,PG,Phoenix Suns,"$1,416,852 "
448,Melvin Frazier Jr.,SG,Orlando Magic,"$1,416,852 "
449,Jarred Vanderbilt,PF,Minnesota Timberwolves,"$1,416,852 "
450,Duncan Robinson,SG,Miami Heat,"$1,416,852 "
451,Kendrick Nunn,SG,Miami Heat,"$1,416,852 "
452,Alize Johnson,PF,Indiana Pacers,"$1,416,852 "
453,Isaiah Hartenstein,C,Houston Rockets,"$1,416,852 "
454,Khyri Thomas,SG,Detroit Pistons,"$1,416,852 "
455,Sviatoslav Mykhailiuk,SG,Detroit Pistons,"$1,416,852 "
456,Bruce Brown,SG,Detroit Pistons,"$1,416,852 "
457,Keita Bates-Diop,SF,Minnesota Timberwolves,"$1,416,852 "
458,Jalen Brunson,PG,Dallas Mavericks,"$1,416,852 "
459,Ryan Broekhoff,G,Dallas Mavericks,"$1,416,852 "
460,Kenrich Williams,SG,New Orleans Pelicans,"$1,416,852 "
461,Dairis Bertans,G,New Orleans Pelicans,"$1,416,852 "
462,Yante Maten,F,Boston Celtics,"$1,416,852 "
463,Tarik Phillip,G,Washington Wizards,"$1,416,842 "
464,Isaac Bonga,SF,Washington Wizards,"$1,416,842 "
465,Jaylen Nowell,SG,Minnesota Timberwolves,"$1,400,000 "
466,Bruno Fernando,PF,Atlanta Hawks,"$1,400,000 "
467,Dakari Johnson,C,Memphis Grizzlies,"$1,378,242 "
468,Kyle Collinsworth,G,Utah Jazz,"$1,378,242 "
469,Brandon Paul,G,San Antonio Spurs,"$1,378,242 "
470,Jaylen Morris,G,Milwaukee Bucks,"$1,378,242 "
471,Rodney Purvis,G,Miami Heat,"$1,378,242 "
472,David Stockton,G,Los Angeles Lakers,"$1,378,242 "
473,Ike Anigbogu,C,Indiana Pacers,"$1,378,242 "
474,Zhou Qi,C,Houston Rockets,"$1,378,242 "
475,Aaron Jackson,F,Houston Rockets,"$1,378,242 "
476,Carmelo Anthony,PF,Portland Trail Blazers,"$1,364,204 "
477,Jabari Bird,G,Atlanta Hawks,"$1,349,464 "
478,Ben Moore,F,San Antonio Spurs,"$1,349,383 "
479,James Nunnally,G,Shanghai Sharks,"$1,349,383 "
480,Kevin Porter Jr.,SG,Cleveland Cavaliers,"$1,290,960 "
481,Carsen Edwards,PG,Boston Celtics,"$1,228,026 "
482,Okaro White,F,Washington Wizards,"$1,187,862 "
483,Cody Martin,SF,Charlotte Hornets,"$1,173,310 "
484,Gary Payton II,PG,Washington Wizards,"$1,052,909 "
485,Nick Young,G,Denver Nuggets,"$1,042,584 "
486,Admiral Schofield,SG,Washington Wizards,"$1,000,000 "
487,Terance Mann,SG,LA Clippers,"$1,000,000 "
488,Ron Baker,G,Washington Wizards,"$948,580 "
489,Jalen McDaniels,PF,Charlotte Hornets,"$898,310 "
490,Caleb Martin,SF,Charlotte Hornets,"$898,310 "
491,Matt Thomas,SG,Toronto Raptors,"$898,310 "
492,Terence Davis,SG,Toronto Raptors,"$898,310 "
493,Dewan Hernandez,C,Toronto Raptors,"$898,310 "
494,Justin Robinson,G,Washington Wizards,"$898,310 "
495,Stanton Kidd,F,Utah Jazz,"$898,310 "
496,Miye Oni,SG,Utah Jazz,"$898,310 "
497,Justin James,SG,Sacramento Kings,"$898,310 "
498,Jalen Lecque,PG,Phoenix Suns,"$898,310 "
499,Ignas Brazdeikis,SF,New York Knicks,"$898,310 "
500,Nicolas Claxton,PF,Brooklyn Nets,"$898,310 "
501,Naz Reid,C,Minnesota Timberwolves,"$898,310 "
502,KZ Okpala,SF,Miami Heat,"$898,310 "
503,Talen Horton-Tucker,SG,Los Angeles Lakers,"$898,310 "
504,Eric Paschall,PF,Golden State Warriors,"$898,310 "
505,Alen Smailagic,PF,Golden State Warriors,"$898,310 "
506,Vlatko Cancar,SF,Denver Nuggets,"$898,310 "
507,Daniel Gafford,PF,Chicago Bulls,"$898,310 "
508,Max Strus,SG,Chicago Bulls,"$898,310 "
509,Javonte Green,SG,Boston Celtics,"$898,310 "
510,Damion Lee,SG,Golden State Warriors,"$842,327 "
511,Isaiah Briscoe,G,Orlando Magic,"$838,464 "
512,Juwan Morgan,SF,Utah Jazz,"$746,054 "
513,Rayjon Tucker,SG,Utah Jazz,"$578,573 "
514,Chris Clemons,PG,Houston Rockets,"$563,347 "
515,Anzejs Pasecniks,C,Washington Wizards,"$482,144 "
516,Chris Silva,PF,Miami Heat,"$466,918 "
517,Jimmer Fredette,G,Phoenix Suns,"$208,509 "
