RK,NAME,,TEAM,SALARY
217,Ed Davis,C,Utah Jazz,"$4,767,000 "
218,Richaun Holmes,C,Sacramento Kings,"$4,767,000 "
219,Frank Kaminsky,C,Phoenix Suns,"$4,767,000 "
220,Mike Scott,PF,Philadelphia 76ers,"$4,767,000 "
221,Garrett Temple,SG,Brooklyn Nets,"$4,767,000 "
222,Robin Lopez,C,Milwaukee Bucks,"$4,767,000 "
223,Avery Bradley,PG,Los Angeles Lakers,"$4,767,000 "
224,JaMychal Green,PF,LA Clippers,"$4,767,000 "
225,Justin Holiday,SF,Indiana Pacers,"$4,767,000 "
226,Enes Kanter,C,Boston Celtics,"$4,767,000 "
227,Collin Sexton,PG,Cleveland Cavaliers,"$4,764,960 "
228,Rui Hachimura,PF,Washington Wizards,"$4,469,160 "
229,Kevon Looney,PF,Golden State Warriors,"$4,464,226 "
230,Dennis Smith Jr.,PG,New York Knicks,"$4,463,640 "
231,Jamal Murray,PG,Denver Nuggets,"$4,444,746 "
232,Kevin Knox II,SF,New York Knicks,"$4,380,120 "
233,Luc Mbah a Moute,F,LA Clippers,"$4,320,500 "
234,Cam Reddish,SG,Atlanta Hawks,"$4,245,720 "
235,Zach Collins,PF,Portland Trail Blazers,"$4,240,200 "
236,Mikal Bridges,SF,Phoenix Suns,"$4,161,000 "
237,Alex Len,C,Atlanta Hawks,"$4,160,000 "
238,Nicolo Melli,PF,New Orleans Pelicans,"$4,102,564 "
239,Cameron Johnson,SF,Phoenix Suns,"$4,033,440 "
240,Malik Monk,SG,Charlotte Hornets,"$4,028,400 "
241,Patrick McCaw,SF,Toronto Raptors,"$4,000,000 "
242,Reggie Bullock,SG,New York Knicks,"$4,000,000 "
243,JaVale McGee,C,Los Angeles Lakers,"$4,000,000 "
244,Dorian Finney-Smith,SF,Dallas Mavericks,"$4,000,000 "
245,Shai Gilgeous-Alexander,SG,Oklahoma City Thunder,"$3,952,920 "
246,PJ Washington,PF,Charlotte Hornets,"$3,831,840 "
247,Luke Kennard,SG,Detroit Pistons,"$3,827,160 "
248,Miles Bridges,SF,Charlotte Hornets,"$3,755,400 "
249,Jakob Poeltl,C,San Antonio Spurs,"$3,754,886 "
250,Tyler Herro,SG,Miami Heat,"$3,640,200 "
251,Donovan Mitchell,SG,Utah Jazz,"$3,635,760 "
252,Stanley Johnson,SF,Toronto Raptors,"$3,623,000 "
253,Jake Layman,SF,Minnesota Timberwolves,"$3,581,986 "
254,Thon Maker,PF,Detroit Pistons,"$3,569,643 "
255,Jerome Robinson,SG,Washington Wizards,"$3,567,720 "
256,Allonzo Trier,SG,New York Knicks,"$3,551,000 "
257,Danuel House Jr.,SF,Houston Rockets,"$3,540,000 "
258,Domantas Sabonis,PF,Indiana Pacers,"$3,529,555 "
259,DeMarcus Cousins,C,Los Angeles Lakers,"$3,500,000 "
260,Michael Beasley,F,LA Clippers,"$3,500,000 "
261,T.J. McConnell,PG,Indiana Pacers,"$3,500,000 "
262,Boban Marjanovic,C,Dallas Mavericks,"$3,500,000 "
263,Dario Saric,PF,Phoenix Suns,"$3,481,986 "
264,Taurean Prince,PF,Brooklyn Nets,"$3,481,986 "
265,Romeo Langford,SG,Boston Celtics,"$3,458,400 "
